200022635,0,CHICLE TUMIX TROPICAL 3 PAST.100 UDS,DIS,5665,5321,0.16,CONFITECOL,B40,6.07
200007160,10343812628,CINTA EPSON TMU 200 ORIGINAL R.ERC-38B,UN,6562,6562,0.16,COMERCIALIZADORA JAICOL S,J67,0
200031540,11111124127,JABON LIQUIDO DOVE DEEP MOISTURE 335 ML,FCO,6772,6772,0.16,UNILEVER ANDINA COLOMBIA,G94,0
200016269,12800516056,PILA AUDICION RAYOVAC TAMANO 13 X 6 UDS,UN,5035,5035,0.16,RAYOVAC VARTA S.A.,H04,0
200016268,12800516063,PILA AUDICION RAYOVAC TAMANO 312 X 6 UDS,UN,4337,4210,0.16,RAYOVAC VARTA S.A.,H04,2.93
200029112,20800307642,DTE ANT.OLD SPICE FRESH BARRA 50 GR,UN,7813,7541,0.16,PROCTER & GAMBLE COLOMBIA,F54,3.48
200029111,20800722469,DTE ANT.OLD SPICE AFTER PARTY BARRA 50 G,UN,7813,7813,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
100009700,30006010123,SINGULAIR GRANULADO 4 MG 10 SBS (M),CJ,63486,63486,0,MERCK SHARP & DOHME,K16,0
100009701,30006030121,SINGULAIR GRANUL 4 MG 30 SBS (A)(M),CJ,176339,119258,0,MERCK SHARP & DOHME,K16,32.37
100019392,30768518226,BIOTIN 900 MG 60 TABLETAS,FCO,22459,19091,0,INTERNACIONAL DE PERFUMER,D30,15
200008503,32809823368,PILA VARTA ALKALINA C 2 UDS,BLI,5358,5358,0.16,RAYOVAC VARTA S.A.,H04,0
200008504,32809823474,PILA VARTA ALKALINA D 2 UDS,BLI,6023,5846,0.16,RAYOVAC VARTA S.A.,H04,2.94
200003613,32809823580,PILA VARTA ALKALINA CUADRADA,BLI,5403,5403,0.16,RAYOVAC VARTA S.A.,H04,0
200031322,34000239009,CHOCOLATINA HERSHEYS BLANCA 43 GR,UN,1834,1834,0.16,CONGRUPO LTDA,H30,0
200026834,36000169164,TOALLAS HUM.HUGGIES REFRESHING 16 UDS,UN,1482,1482,0.16,COLOMBIANA KIMBERLY COLPA,B14,0
200005606,36000180800,CALZON HUG.PULL-UPS GOODNITES MED.11 UDS,CJ,16223,15412,0.16,COLOMBIANA KIMBERLY COLPA,B14,5
200005607,36000180855,CALZON HUG.PULL-UPS GOODNITES GDE.9 UDS,CJ,16223,16223,0.16,COLOMBIANA KIMBERLY COLPA,B14,0
200011517,36000393521,TR.BANO HUGGIES LITTLE SWIMERS 11 UDS,PAQ,12349,12349,0.16,COLOMBIANA KIMBERLY COLPA,B14,0
200004101,36600813719,PROT.LABIAL CHAPSTICK CEREZA,UN,5926,5926,0.16,PFIZER S.A.S,F38,0
200004102,36600814013,PROT.LABIAL CHAPSTICK FRESA,UN,5926,5926,0.16,PFIZER S.A.S,F38,0
200004104,36600814617,PROT.LABIAL CHAPSTICK MENTA,UN,5926,5926,0.16,PFIZER S.A.S,F38,0
200004103,36600833311,PROT.LABIAL CHAPSTICK MEDICADO,UN,6789,6789,0.16,PFIZER S.A.S,F38,0
200031300,37000124429,DTE SECRET POW.FRESH BARRA 48 GR,UN,6961,6705,0.16,PREBEL,F49,3.68
200028680,37000195504,DTE.CREMA SECRET CLINICAL SPORT 45 GR,UN,11174,11174,0.16,PREBEL,F49,0
200031301,37000711087,DTE.SECRET POWDER FRESH SPRAY 170 GR,UN,7720,7443,0.16,PREBEL,F49,3.59
200015601,39800008664,PILA ENERGIZER RECARGABLE AAA 2 UDS,UN,10074,9594,0.16,EVEREADY DE COLOMBIA S.A.,C16,4.76
200006165,39800011367,PILA ENERGIZER MAX ALKALINA MED.2 UDS,BLI,6573,6573,0.16,EVEREADY DE COLOMBIA S.A.,C16,0
200006172,39800011398,PILA ENERGIZER MAX ALKALINA GDE.2 UDS,BLI,6573,6573,0.16,EVEREADY DE COLOMBIA S.A.,C16,0
200006173,39800011626,PILA EVEREADY CUADRADA,UN,2761,2761,0.16,EVEREADY DE COLOMBIA S.A.,C16,0
200006169,39800013613,PILA ENERGIZER MAX ALKALINA CUADRADA,UN,5334,5334,0.16,EVEREADY DE COLOMBIA S.A.,C16,0
200006171,39800014009,PILA ENERGIZER MAX ALKALINA AAA 2 UDS,BLI,2620,2156,0.16,EVEREADY DE COLOMBIA S.A.,C16,17.71
200006170,39800015464,PILA ENERGIZER MAX ALKALINA AA 2 UDS,BLI,2499,2062,0.16,EVEREADY DE COLOMBIA S.A.,C16,17.49
200015598,39800034083,PILA ENERGIZER LITHIUM AA 2 UDS,UN,7948,7948,0.16,EVEREADY DE COLOMBIA S.A.,C16,0
200017832,40000012313,CHOCOLATE M Y M MILK PLAIN 48 GR,UN,1103,1010,0.16,MASTERFOODS COLOMBIA LTDA,C06,8.43
200017833,40000012320,CHOCOLATE M Y M PEANUT 49 GR,UN,1103,1103,0.16,MASTERFOODS COLOMBIA LTDA,C06,0
200025875,40000032373,CHOCOLATE M Y M MILK MINIS TUBES 30 GR,TBO,1509,1509,0.16,MASTERFOODS COLOMBIA LTDA,C06,0
200024525,40000422068,CHOCOLATE MILKY WAY 52 GR,UN,1103,1103,0.16,MASTERFOODS COLOMBIA LTDA,C06,0
200027180,41333000985,PILA DURACELL D REDONDA,UN,11799,11799,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200027210,41333000992,PILA DURACELL C REDONDA,UN,9684,9684,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200006479,41333001043,PILA DURACELL CUADRADA,UN,10004,10004,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200021538,41333014630,PILA DURACELL ALKALINA AA X 2 6 UDS,BLI,14030,13678,0.16,PROCTER & GAMBLE COLOMBIA,F54,2.51
200021539,41333431482,PILA DURACELL ALKALINA AAA X 2 6 UDS,DIS,13856,13856,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200020819,41554197044,PESTANINA VOLUM EXPRESS COLOSSAL BLACK,UN,10272,10272,0.16,LOREAL COLOMBIA S.A.,E37,0
200017436,47400097728,DTE GILLETTE 3X GEL COOL WAVE 113 GR H,OFE,10014,9666,0.16,PROCTER & GAMBLE COLOMBIA,F54,3.48
200017437,47400097872,DTE GILLETTE 3X GEL POWER RUSH 113 GR H,OFE,10014,10014,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200012843,47400130708,GEL DE AFEITAR SERIES SENSIT.SKIN 198 GR,UN,15020,15020,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200009716,47400130715,GEL DE AFEITAR SERIES HIDRATANTE 198 GR,UN,15020,15020,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200021621,47400130906,ESPUMA DE AFEITAR SERIES SEN.SKIN 245 GR,FCO,12842,12842,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200006317,47400131903,AFTER SHAVE SERIES LOCION COOL W.100 ML,UN,16807,16807,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200027181,47400141490,GEL SATINCARE MUJER 198 GR,UN,14170,14170,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200006496,47400179240,REPUESTO MAQ.AFEIT.MACH 3 2 UDS,PAQ,11576,11025,0.16,PROCTER & GAMBLE COLOMBIA,F54,4.76
200006498,47400179660,REPUESTO MAQ.AFEIT.MACH 3 4 UDS,UN,20783,20178,0.16,PROCTER & GAMBLE COLOMBIA,F54,2.91
200006454,47400241459,ESPUMA DE AFEITAR FOAMY SENSIBLE 312 GR,UN,13937,13937,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200028618,48526001729,ASPIRADOR NASAL Y OIDOS 4 PIEZAS,UN,5548,5548,0.16,BELLEZA EXPRESS LTDA,A54,0
200028462,48526009350,CHUPO NUBY ANTIDERRAME FLUJO VARIA.2 UDS,UN,2598,2598,0.16,BELLEZA EXPRESS LTDA,A54,0
200028460,48526009367,CHUPO NUBY CUELLO ANCHO 2 UDS,UN,2598,2598,0.16,BELLEZA EXPRESS LTDA,A54,0
200028617,48526010943,BIBERON NUBY 2 ETAPAS 240 ML CON OJOS,UN,11849,11849,0.16,BELLEZA EXPRESS LTDA,A54,0
200028616,48526048007,ESTUCHE PROTECTOR DE PEZON NUBY,EST,9913,9913,0.16,BELLEZA EXPRESS LTDA,A54,0
200028615,48526099252,VASO ENTRETENEDOR ANTIGOTEO 240 ML,UN,9382,8867,0.16,BELLEZA EXPRESS LTDA,A54,5.49
200027807,51009000331,ESP.AFEITAR BARBASOL ORIGINAL 64 GR,UN,3138,3138,0.16,OPTION S.A,A45,0
200027805,51009009600,ESP.AFEITAR BARBASOL SENSITI.SKIN 283 GR,TAR,5952,5952,0.16,OPTION S.A,A45,0
200027188,69055842973,CEP.ORAL-B ELECTRICO VITALITY,UN,61187,56655,0.16,PROCTER & GAMBLE COLOMBIA,F54,7.41
200004360,70074100579,ENSURE CON FIBRA FOS LIQUIDO 8 OZ,UN,9836,9836,0,ABBOTT LABORATORIES S.A,A05,0
200031688,70501017104,NEUTROGENA FREE W.LIMPIADOR CUTIS 177 ML,FCO,20819,20819,0.16,JOHNSON & JOHNSON DE COLO,D50,0
200031691,70501028100,NEUTROGENA ESPUMA LIMPIEZA FACIAL 200 ML,FCO,20116,20116,0.16,JOHNSON & JOHNSON DE COLO,D50,0
200024877,70501051054,NEUTROGENA TOALLITAS DESMAQUI.25 UDS,UN,12779,12779,0.16,JOHNSON & JOHNSON DE COLO,D50,0
200024880,70501061954,NEUTROGENA DEEP CLEAN ASTRINGEN.200 ML,UN,16474,16474,0.16,JOHNSON & JOHNSON DE COLO,D50,0
200031689,70501810156,JABON NEUTROGENA ORIGINAL 100 GR,UN,5629,5629,0.16,JOHNSON & JOHNSON DE COLO,D50,0
200000929,70530002577,MARCADOR PERMANENTE NEGRO,UN,536,536,0.16,NEWELL SANFORD,E93,0
200027081,70847004707,MONSTER ENERGY GREEN 473 ML,UN,5216,5216,0,BEBIDA LOGISTICA S.A.,I36,0
200027080,70847004721,MONSTER ENERGY LO-CARB 473 ML,UN,5216,5216,0,BEBIDA LOGISTICA S.A.,I36,0
200027082,70847004745,MONSTER ENERGY RIPPER 473 ML,UN,5216,5216,0,BEBIDA LOGISTICA S.A.,I36,0
200027702,70942018401,SEDA DENTAL 2004 1.83 MTS,UN,4580,4580,0.16,SUNSTAR AMERICAS INC,J83,0
200028564,70942122863,GUM SOFT PICK 40 UDS,BOL,9040,9040,0.16,SUNSTAR AMERICAS INC,J83,0
200030477,70942123396,CEP.CRAYOLA MARKET 2X1,OFE,5870,5870,0.16,SUNSTAR AMERICAS INC,J83,0
200027704,70942123648,GEL CANKERX ALIVIO DOLOR 8 ML,UN,11389,11389,0.16,SUNSTAR AMERICAS INC,J83,0
200026603,70942125352,KIT DE ORTODONCIA GUM,KIT,10847,10847,0.16,SUNSTAR AMERICAS INC,J83,0
200027705,70942125611,CEPILLO CRAYOLA PIP SQUEAKS 2X1,OFE,5870,5870,0.16,SUNSTAR AMERICAS INC,J83,0
200030476,70942127141,CEP.SUPREME PAGUE 1 LLEVE 3,OFE,4473,4473,0.16,SUNSTAR AMERICAS INC,J83,0
200030878,70942127257,KIT GUM VIAJERO ORTODONCIA,KIT,7631,7631,0.16,SUNSTAR AMERICAS INC,J83,0
200029131,70942302357,GUM PROTECTOR CEPILLOS 4 UNIDADES,UN,2936,2936,0.16,SUNSTAR AMERICAS INC,J83,0
200028563,70942303101,GUM FLOSSER CRAYOLO 40 UDS,BOL,5517,5517,0.16,SUNSTAR AMERICAS INC,J83,0
200026607,70942304344,PALILLOS DENTALES SOFT PICKS GUM 15 UDS,DIS,4227,4227,0.16,SUNSTAR AMERICAS INC,J83,0
200027742,70942304542,HILO DENTAL ORTHODONTIC FLOSS,UN,7752,7383,0.16,SUNSTAR AMERICAS INC,J83,4.76
200028562,70942304726,GUM FLOSSER ACCION MULTIPLE 40 UDS,BOL,6105,5814,0.16,SUNSTAR AMERICAS INC,J83,4.77
200026602,70942304733,FLOSSERS ULTRADESLIZANTE GUM 40 UDS,BOL,6105,6105,0.16,SUNSTAR AMERICAS INC,J83,0
200026604,70942306010,REPUESTO INTERDEN.CILINDRICO GUM 8 UDS,UN,7749,7749,0.16,SUNSTAR AMERICAS INC,J83,0
200026608,70942306027,CEP.INTERDENTAL DOBLE EXTREMO GUM,UN,5284,5284,0.16,SUNSTAR AMERICAS INC,J83,0
200027152,70942501248,CEP.ORTODONTICO GUM,UN,5400,5400,0.16,SUNSTAR AMERICAS INC,J83,0
200030099,70942501538,CEPILLO GUM VIAJERO ON THE GO SUAVE,UN,5400,5400,0.16,SUNSTAR AMERICAS INC,J83,0
200026611,70942502016,CEP.DENTURE PARA PROTESIS GUM,UN,4239,4239,0.16,SUNSTAR AMERICAS INC,J83,0
200026605,70942507240,CERA DE ORTODONCIA ALOE GUM 5 BARRAS,UN,2349,2349,0.16,SUNSTAR AMERICAS INC,J83,0
200027703,70942508407,ENHEBRADOR SUNSTAR 25 UDS,CJ,5753,5753,0.16,SUNSTAR AMERICAS INC,J83,0
200028653,70942901536,KIT GUM VIAJERO WHITHENING,KIT,7269,7269,0.16,SUNSTAR AMERICAS INC,J83,0
200026606,70942906142,REPUESTO INTERDENTAL CONICO GUM 8 UDS,UN,7749,7749,0.16,SUNSTAR AMERICAS INC,J83,0
200028561,70942914147,CEP.GUM INTERDENT.VIAJERO FINO-CONICO,UN,9627,9627,0.16,SUNSTAR AMERICAS INC,J83,0
200026609,70942916141,CEP.INTERDENTAL VIAJERO CONICO 4 UDS GUM,DIS,9627,9627,0.16,SUNSTAR AMERICAS INC,J83,0
200017192,76690000040,TRICOFERO BARRY SIN GRASA 236 ML,UN,7370,7370,0.16,JABONERIA DEL PACIFICO S.,K05,0
200005743,76690000149,AGUA FLORIDA MURRAY 221 ML,UN,7866,7866,0.16,JABONERIA DEL PACIFICO S.,K05,0
200005742,76690000248,AGUA FLORIDA MURRAY 59 ML,UN,2329,2329,0.16,JABONERIA DEL PACIFICO S.,K05,0
200005744,76690000347,AGUA FLORIDA MURRAY 118 ML,UN,3971,3971,0.16,JABONERIA DEL PACIFICO S.,K05,0
200017194,76690000361,AGUA FLORIDA MURRAY 22 ML,UN,1336,1336,0.16,JABONERIA DEL PACIFICO S.,K05,0
200005747,76690000545,TRICOFERO BARRY TRADICIONAL 118 ML,UN,5765,5765,0.16,JABONERIA DEL PACIFICO S.,K05,0
200005751,76690000743,TRICOFERO BARRY D-PANTENOL C.GRASA 118ML,UN,5765,5765,0.16,JABONERIA DEL PACIFICO S.,K05,0
200005749,76690000842,TRICOFERO BARRY D-PANTENOL C.GRASA 236ML,UN,7370,7370,0.16,JABONERIA DEL PACIFICO S.,K05,0
200005748,76690000941,TRICOFERO BARRY D-PANTENOL S.GRASA 118ML,UN,5765,5765,0.16,JABONERIA DEL PACIFICO S.,K05,0
200020010,79400052919,DTE REXONA SOFT SOL CLINICAL MEN 48 GR H,UN,12597,12597,0.16,UNILEVER ANDINA COLOMBIA,G94,0
200020009,79400052926,DTE REXONA SOFT SOLID CLINI WOM.48 GR M,UN,12597,12597,0.16,UNILEVER ANDINA COLOMBIA,G94,0
200030103,79400103147,DTE DOVE CLINICAL ORIGINAL 48 ML  M,UN,13868,13868,0.16,UNILEVER ANDINA COLOMBIA,G94,0
200023030,79400110695,DTE REXONA SOFT SOL.CLIN FRESH 48 GR M,UN,12597,12597,0.16,UNILEVER ANDINA COLOMBIA,G94,0
200025995,79400124050,ACOND.DOVE OLEO NUTRICION 236 ML,FCO,9547,7782,0.16,UNILEVER ANDINA COLOMBIA,G94,18.49
200030102,79400296023,DTE DOVE CLINICAL CLEAN CONFORT 48 ML  H,UN,13868,13868,0.16,UNILEVER ANDINA COLOMBIA,G94,0
200028544,79400300546,DTE REXONA CLINI SOLID SPORT STRE.48 GR,UN,12597,12597,0.16,UNILEVER ANDINA COLOMBIA,G94,0
200028543,79400301161,DTE REXONA CLINI SOLID EXTRA DRY 48 GR M,UN,12597,12597,0.16,UNILEVER ANDINA COLOMBIA,G94,0
200004348,79567570301,ACEITE 3 EN-UNO 30 ML,UN,1299,1299,0.16,LICAVIR LTDA,H58,0
200004349,79567570363,ACEITE 3 EN-UNO 90 ML,UN,2338,2338,0.16,LICAVIR LTDA,H58,0
200032072,79573004173,PASTILLERO ACU LIFE SEMANAL,UN,15429,15429,0.16,MEDICAL URB S.A.S,K34,0
200032073,79573009178,PASTILLERO DIARIO DE TRES COMPARTIMENTOS,UN,3838,3838,0.16,MEDICAL URB S.A.S,K34,0
200032071,79573009185,PASTILLERO ACU LIFE DIARIO,UN,4429,4429,0.16,MEDICAL URB S.A.S,K34,0
200032074,79573108505,PASTILLERO ACU LIFE DIARIO AM PM,UN,3249,3249,0.16,MEDICAL URB S.A.S,K34,0
200019298,79656500257,BRONC.BANANA BOAT ACEITE GOLD SPF4 236 M,UN,13000,13000,0.16,EVEREADY DE COLOMBIA S.A.,C16,0
200019297,79656500882,BRONC.BANANA ACEITE PROTECTOR SPF8 236 M,UN,17038,17038,0.16,EVEREADY DE COLOMBIA S.A.,C16,0
200028500,79656501407,BLOQ.BANANA B.BABY SIN LAG.FPS 50 118 ML,UN,17099,17099,0.16,EVEREADY DE COLOMBIA S.A.,C16,0
200028720,79656501421,BLOQ.BANANA KIDS FPS SIN L.FPS 50 118 ML,UN,16836,16836,0.16,EVEREADY DE COLOMBIA S.A.,C16,0
200020255,79656546453,BLOQ.BANANA ULTRA DEFENSE SPF 80 118 ML,UN,21887,19211,0.16,EVEREADY DE COLOMBIA S.A.,C16,12.23
200030708,79656549638,BLOQ.BANANA ULTRA DEFENSE SPF 30 118 ML,FCO,15983,15983,0.16,EVEREADY DE COLOMBIA S.A.,C16,0
200021808,79656549652,BLOQ.BANANA ULTRA DEFENSE SPF 100 118 ML,FCO,21887,21887,0.16,EVEREADY DE COLOMBIA S.A.,C16,0
200023156,79656550559,BLOQ.BANANA BOAT ULTRA DEFE.SPF 50 60 ML,UN,8719,8719,0.16,EVEREADY DE COLOMBIA S.A.,C16,0
200023155,79656550566,BLOQ.BANANA BOAT KIDS SPF 50 60 ML,UN,8719,8719,0.16,EVEREADY DE COLOMBIA S.A.,C16,0
200024414,79656550627,BLOQ.BANANA KIDS FPS 100 118 ML,UN,21887,21800,0.16,EVEREADY DE COLOMBIA S.A.,C16,0.4
200028560,79656552072,BLOQ.BANANA AQUA PROTEC SPF 50 118 ML,UN,17099,17099,0.16,EVEREADY DE COLOMBIA S.A.,C16,0
200027664,81300000051,PROTECTOR LABIAL MINI ICE MED,UN,2292,2292,0.16,LAZO ANDINO S.A.S,J57,0
200031690,86800124313,NEUTROGENA DESMAQUILLANTE REMOVER 5.5 OZ,UN,17189,17189,0.16,JOHNSON & JOHNSON DE COLO,D50,0
200031693,86800873105,BLOQ.NEUTROGENA SHEER DRY-T.SPF100 88ML,FCO,40217,40217,0.16,JOHNSON & JOHNSON DE COLO,D50,0
200027020,93000000019,PROTECTOR LABIAL MINI FRAMBUESA,UN,2292,2292,0.16,LAZO ANDINO S.A.S,J57,0
200027022,93000000026,PROTECTOR LABIAL MINI MANZANA,UN,2292,2292,0.16,LAZO ANDINO S.A.S,J57,0
200027665,93000000040,PROTECTOR LABIAL MINI FRESA,UN,2292,2292,0.16,LAZO ANDINO S.A.S,J57,0
200027019,93000000057,PROTECTOR LABIAL MINI SANDIA,UN,2292,2292,0.16,LAZO ANDINO S.A.S,J57,0
200024532,93000011015,PROT.LABIAL CHAP ICE ORIGINAL,UN,3822,3822,0.16,LAZO ANDINO S.A.S,J57,0
200024531,93000011022,PROT.LABIAL CEREZA,UN,3822,3822,0.16,LAZO ANDINO S.A.S,J57,0
200024530,93000011039,PROT.LABIAL MEDICADO,UN,4024,4024,0.16,LAZO ANDINO S.A.S,J57,0
200024529,93000011046,PROT.LABIAL CHAP ICE FRAMBUESA,UN,3822,3822,0.16,LAZO ANDINO S.A.S,J57,0
200004293,93000011060,PROT.LABIAL CHAP ICE SANDIA,UN,3822,3822,0.16,LAZO ANDINO S.A.S,J57,0
200031134,93000102003,PROT.LABIAL LIP RAGEOUS MINI BLIST.3 UDS,PRE,6385,6193,0.16,LAZO ANDINO S.A.S,J57,3.01
