clasificación de los rines por tipos según la distancia entre pernos entre marcas y modelos,,,,,,, PCD = Distancia del perno al centro
,MARCA,MODELO,PCD,AÑO,,,
TIPO 1.1.13,CHEVROLET,Alto,4x100,1988-2016,,,
"5,5-6-6,5""",CHEVROLET,Astra,4x100,1990-2008,,,
,DAEWOO,Cielo,4x100,1994-2002,,,
,DAEWOO,lanos,4x100,2005-2009,,,
,DAEWOO,Racer,4x100,1994-1997,,,
,DAEWOO,Tico,4x100,1991-2001,,,
,HIUNDAY,Atos,4x100,2001-2008,,,
,HIUNDAY,Eon,4x100,2015-2016,,,
,KIA,Sephia,4x100,1995-1998,,,
,KIA,Stylus,4x100,2010-2016,,,
,MAZDA,323,4x100,1990-2002,,,
,MAZDA,Demio,4x100,1997-2008,,,
,RENAULT,Twingo,4x100,1993-2016,,,
,SKODA,Felicia,4x100,1994-2001,,,
,SUZUKI,Alto,4x100,2002-2016,,,
,,,,,,,
"TIPO 1.1.14.5,5",BYD,F0,4x100,2006-2012,,,
"5,5-6-6,5""",CHEVROLET,Corsa,4x100,2000-2016,,,
,CHEVROLET,Spark GT,4x100,2013-2016,,,
,FORD,Laser,4x100,1990-2007,,,
,GEELY,CK Taxi,4x100,2010-2016,,,
,GEELY,LC,4x100,2010-2016,,,
,HIUNDAY,accent,4x100,2000-2016,,,
,HIUNDAY,Getz,4x100,2002-2008,,,
,HIUNDAY,Grand city taxi,4x100,2013-2016,,,
,HIUNDAY,I10,4x100,2008-2015,,,
,HIUNDAY,I10 sedan,4x100,2014-2016,,,
,HIUNDAY,I25 sedan,4x100,2014-2016,,,
,JAC,J2,4x100,2011-2014,,,
,JAC,J3,4x100,2011-2016,,,
,KIA,Picanto ion,4x100,2004-2016,,,
,KIA,Rio ,4x100,2000-2016,,,
,MAZDA,2,4x100,2008-2016,,,
,MAZDA,Allegro,4x100,1990-2004,,,
,MITSUBISHI,Lancer,4x100,1991-2006,,,
,NISSAN,Almera ,4x100,1994-1999,,,
,RENAULT,Clio,4x100,1990-2016,,,
,RENAULT,Express taxi,4x100,2012-2016,,,
,RENAULT,kangoo,4x100,1998-2012,,,
,RENAULT,Simbol,4x100,1999-2016,,,
,SUZUKI,Celerio,4x100,2015-2016,,,
,SUZUKI,Dzire,4x100,2012-2016,,,
,SUZUKI,Swift Live,4x100,2004-2016,,,
,VOLKSWAGEN,Polo,4x100,1990-2000,,,
,VOLKSWAGEN,Saveiro,4x100,2010-2014,,,
,CHEVROLET,Alto,4x100,1988-2016,,,
,CHEVROLET,Astra,4x100,1990-2008,,,
,DAEWOO,Cielo,4x100,1994-2002,,,
,DAEWOO,lanos,4x100,2005-2009,,,
,DAEWOO,Racer,4x100,1994-1997,,,
,DAEWOO,Tico,4x100,1991-2001,,,
,HIUNDAY,Atos,4x100,2001-2008,,,
,HIUNDAY,Eon,4x100,2015-2016,,,
,KIA,Sephia,4x100,1995-1998,,,
,KIA,Stylus,4x100,2010-2016,,,
,MAZDA,323,4x100,1990-2002,,,
,MAZDA,Demio,4x100,1997-2008,,,
,RENAULT,Twingo,4x100,1993-2016,,,
,SKODA,Felicia,4x100,1994-2001,,,
,SUZUKI,Alto,4x100,2002-2016,,,
,,,,,,,
TIPO 1.1.15,BYD,F3,4x100,2006-2012,,,
"6,5-7-7,5-8""",BYD,new F3,4x100,2006-2012,,,
,CHEVROLET,Aveo ,4x100,2003-2012,,,
,DAIHATSU,Sirion,4x100,1998-2008,,,
,GEELY,MK taxi,4x100,2010-2016,,,
,HONDA,Fit,4x100,2001-2016,,,
,MINI,Mini,4x100,2001-2016,,,
,MITSUBISHI,Mirage,4x100,1991,,,
,MITSUBISHI,Mirage,4x100,1993-2003,,,
,NISSAN,March,4x100,1989-2016,,,
,NISSAN,Note,4x100,2005-2016,,,
,NISSAN,Tiida,4x100,2004-2006,,,
,RENAULT,Logan,4x100,2004-2016,,,
,RENAULT,Sandero,4x100,2007-2016,,,
,RENAULT,Scenic,4x100,1998-2008,,,
,RENAULT,Stepway,4x100,2008-2016,,,
,SEAT,Ibiza,4x100,1993-2002,,,
,SEAT,Toledo,4x100,1991-1992,,,
,SUZUKI,Ciaz,4x100,2012-2016,,,
,TOYOTA,Corolla,4x100,1990-2002,,,
,VOLKSWAGEN,Passat,4x100,1990-1997,,,
,VOLKSWAGEN,Vento,4x100,1984-1998,,,
,VOLKSWAGEN,Voyage,4x100,2010-2016,,,
,BYD,F0,4x100,2006-2012,,,
,CHEVROLET,Corsa,4x100,2000-2016,,,
,CHEVROLET,Spark GT,4x100,2013-2016,,,
,FORD,Laser,4x100,1990-2007,,,
,GEELY,CK Taxi,4x100,2010-2016,,,
,GEELY,LC,4x100,2010-2016,,,
,HIUNDAY,accent,4x100,2000-2016,,,
,HIUNDAY,Getz,4x100,2002-2008,,,
,HIUNDAY,Grand city taxi,4x100,2013-2016,,,
,HIUNDAY,I10,4x100,2008-2015,,,
,HIUNDAY,I10 sedan,4x100,2014-2016,,,
,HIUNDAY,I25 sedan,4x100,2014-2016,,,
,JAC,J2,4x100,2011-2014,,,
,JAC,J3,4x100,2011-2016,,,
,KIA,Picanto ion,4x100,2004-2016,,,
,KIA,Rio ,4x100,2000-2016,,,
,MAZDA,2,4x100,2008-2016,,,
,MAZDA,Allegro,4x100,1990-2004,,,
,MITSUBISHI,Lancer,4x100,1991-2006,,,
,NISSAN,Almera ,4x100,1994-1999,,,
,RENAULT,Clio,4x100,1990-2016,,,
,RENAULT,Express taxi,4x100,2012-2016,,,
,RENAULT,kangoo,4x100,1998-2012,,,
,RENAULT,Simbol,4x100,1999-2016,,,
,SUZUKI,Celerio,4x100,2015-2016,,,
,SUZUKI,Dzire,4x100,2012-2016,,,
,SUZUKI,Swift Live,4x100,2004-2016,,,
,VOLKSWAGEN,Polo,4x100,1990-2000,,,
,VOLKSWAGEN,Saveiro,4x100,2010-2014,,,
,,,,,,,
TIPO 1.1.16,CHEVROLET,Cobalt,4x100,2004-2016,,,
"7-7,5""",CHEVROLET,Spark Life,4x100,2013-2016,,,
,HONDA,Civic,4x100,1991-2005,,,
,NISSAN,Sentra ,4x100,1994-2000,,,
,RENAULT,Megane,4x100,1996-2008,,,
,VOLKSWAGEN,Jetta,4x100,1992-1999,,,
,HONDA,Accord,4x100,1982-1990,,,
,VOLKSWAGEN,Gol,4x100,1990-2014,,,
,VOLKSWAGEN,Golf,4x100,1974-1992,,,
,BYD,F3,4x100,2006-2012,,,
,BYD,new F3,4x100,2006-2012,,,
,CHEVROLET,Aveo ,4x100,2003-2012,,,
,DAIHATSU,Sirion,4x100,1998-2008,,,
,GEELY,MK taxi,4x100,2010-2016,,,
,HONDA,Fit,4x100,2001-2016,,,
,MINI,Mini,4x100,2001-2016,,,
,MITSUBISHI,Mirage,4x100,1991,,,
,MITSUBISHI,Mirage,4x100,1993-2003,,,
,NISSAN,March,4x100,1989-2016,,,
,NISSAN,Note,4x100,2005-2016,,,
,NISSAN,Tiida,4x100,2004-2006,,,
,RENAULT,Logan,4x100,2004-2016,,,
,RENAULT,Sandero,4x100,2007-2016,,,
,RENAULT,Scenic,4x100,1998-2008,,,
,RENAULT,Stepway,4x100,2008-2016,,,
,SEAT,Ibiza,4x100,1993-2002,,,
,SEAT,Toledo,4x100,1991-1992,,,
,SUZUKI,Ciaz,4x100,2012-2016,,,
,TOYOTA,Corolla,4x100,1990-2002,,,
,VOLKSWAGEN,Passat,4x100,1990-1997,,,
,VOLKSWAGEN,Vento,4x100,1984-1998,,,
,VOLKSWAGEN,Voyage,4x100,2010-2016,,,
,BYD,F0,4x100,2006-2012,,,
,CHEVROLET,Corsa,4x100,2000-2016,,,
,CHEVROLET,Spark GT,4x100,2013-2016,,,
,FORD,Laser,4x100,1990-2007,,,
,GEELY,CK Taxi,4x100,2010-2016,,,
,GEELY,LC,4x100,2010-2016,,,
,HIUNDAY,accent,4x100,2000-2016,,,
,HIUNDAY,Getz,4x100,2002-2008,,,
,HIUNDAY,Grand city taxi,4x100,2013-2016,,,
,HIUNDAY,I10,4x100,2008-2015,,,
,HIUNDAY,I10 sedan,4x100,2014-2016,,,
,HIUNDAY,I25 sedan,4x100,2014-2016,,,
,JAC,J2,4x100,2011-2014,,,
,JAC,J3,4x100,2011-2016,,,
,KIA,Picanto ion,4x100,2004-2016,,,
,KIA,Rio ,4x100,2000-2016,,,
,MAZDA,2,4x100,2008-2016,,,
,MAZDA,Allegro,4x100,1990-2004,,,
,MITSUBISHI,Lancer,4x100,1991-2006,,,
,NISSAN,Almera ,4x100,1994-1999,,,
,RENAULT,Clio,4x100,1990-2016,,,
,RENAULT,Express taxi,4x100,2012-2016,,,
