,BARRA,DESCRIPCIÓN,PRESENTACION,,,,LABORATORIO,PRECIO VENTA,FRACCION,,,
200024483,7707351591500,AMIGDAL B 12 TABLETAS,CJ,8161,7533,0,A.H ROBINS S.A.S,1.10%,0,,,
200007160,7707351592569,AMIGDAL B 24 TABLETAS,CJ,15021,13865,0,A.H ROBINS S.A.S,1.10%,0,,,
200031540,7707351592712,BLOQ.SOLAR SUNXOL 30 SOBRES,CJ,51360,47411,0.16,A.H ROBINS S.A.S,1.40%,0,,,
200016269,7707351590831,BLOQ.SOLAR SUNXOL KIDS 30 SOBRES,CJ,51360,47411,0.16,A.H ROBINS S.A.S,1.40%,0,,,
200016268,7707351591395,COLLOMACK SOLUCION FRASCO 10 ML,FCO,16440,15176,0,A.H ROBINS S.A.S,1.10%,0,,,
200029112,7707351591173,CONDIMAX 5 ML,FCO,25074,23146,0,A.H ROBINS S.A.S,1.10%,0,,,
200029111,7707351598523,CUMARIN 5 MG 50 TBS,CJ,31106,28714,0,A.H ROBINS S.A.S,1.10%,0,1,,
100009700,7707351591869,CUYDERM CREMA 40 GR,TBO,19515,18014,0,A.H ROBINS S.A.S,1.10%,0,,,
100009701,7707351591487,DICLOCIL 20 CAPSULAS,CJ,44943,41488,0,A.H ROBINS S.A.S,1.10%,0,,,
100019392,7707351591272,DICLOCIL SUSPENSION 80 ML,UN,20816,19216,0,A.H ROBINS S.A.S,1.10%,0,,,
200008503,7707351591425,DIMETAPP GRIPA 500 MG 100 CAPSULAS,CJ,53222,49130,0,A.H ROBINS S.A.S,1.10%,SOBRE X 10 CAPSULAS,,,
200008504,7707351599193,DRENABYL JARABE 120 ML,FCO,17504,16158,0,A.H ROBINS S.A.S,1.10%,0,,,
200003613,7707351592842,IRUDERM 1 CREMA TOPICA 40 GR,CJ,17031,15722,0,A.H ROBINS S.A.S,1.10%,0,,,
200031322,7707351592880,LASONIL GEL 20 GR,CJ,21171,19542,0,A.H ROBINS S.A.S,1.10%,0,,,
200027348,7707351592828,LASONIL GEL 40 GR,CJ,33708,31115,0,A.H ROBINS S.A.S,1.10%,0,,,
200026834,7707351592705,LINIMENTO OUTDOL SPRAY 120 ML,FCO,19160,17686,0,A.H ROBINS S.A.S,1.10%,0,,,
200005606,7707351592491,LINIMENTO OUTDOL SPRAY 60 ML,FCO,13956,12883,0,A.H ROBINS S.A.S,1.10%,0,,,
200005607,7707351597106,MUCOFAN JARABE EXPECTORANTE 120 ML,FCO,15021,13865,0,A.H ROBINS S.A.S,1.10%,0,,,
200011517,7707351592187,NENEDOL GOTAS 10 ML,FCO,15021,13865,0,A.H ROBINS S.A.S,1.15%,0,,,
200004101,7707351594310,OFTI PAT SOLUCION OFTALMICA 2.5 ML,FCO,19515,18014,0,A.H ROBINS S.A.S,1.10%,0,,,
200004102,7707351598349,OFTI TEARS LAGRIMAS 15 ML,FCO,14429,13320,0,A.H ROBINS S.A.S,1.10%,0,,,
200004104,7707351591333,OFTIZUL GOTAS 7 ML,FCO,12182,11245,0,A.H ROBINS S.A.S,1.10%,0,,,
200004103,7707351591326,OIDOLYT SUSPENSION OTICA 15 ML,FCO,13601,12556,0,A.H ROBINS S.A.S,1.10%,0,,,
200031302,7707351593016,REPELENTE C-VAN SPRAY 120 ML,FCO,13696,12643,0.16,A.H ROBINS S.A.S,1.40%,0,,,
200031300,7707351591159,RIFAPEN SPRAY 1% 20 ML,FCO,19870,18342,0,A.H ROBINS S.A.S,1.10%,0,,,
200028680,7707351591401,S-ORIPOL 400 MG 100 CAPSULAS(A),CJ,128089,118239,0,A.H ROBINS S.A.S,1.10%,SOBRE X 10 CAPSULAS,,,
200031301,7707351591418,S-ORIPOL 400 MG 20 CAPSULAS,CJ,29923,27621,0,A.H ROBINS S.A.S,1.10%,0,,,
200006165,7707351591456,S-ORIPOL FORTE 100 CAPSULAS (A),CJ,140507,129699,0,A.H ROBINS S.A.S,1.10%,SOBRE X 10 CAPSULAS,,,
200006172,7707351591470,S-ORIPOL FORTE 20 CAPSULAS,CJ,32761,30242,0,A.H ROBINS S.A.S,1.10%,0,,,
200006173,7707351591791,SULFASIL POLVO 1 % 18 GR,UN,13483,12446,0,A.H ROBINS S.A.S,1.10%,0,,,
200006169,7707351596253,SUPOGLIX ADULTOS 50 SUPOSITORIOS,CJ,28858,26640,0,A.H ROBINS S.A.S,1.10%,0,,,
200006171,7707351596277,SUPOGLIX PEDIATRICO 50 SUPOSITORIOS,FCO,27676,25548,0,A.H ROBINS S.A.S,1.10%,0,,,
200006170,7707351591845,VAGYLIN CREMA VAGINAL 20 GR,TBO,32407,29915,0,A.H ROBINS S.A.S,1.15%,0,,,
200015598,7707351599735,VERACEF 250 MG SUSPENSION 80 ML,FCO,41395,34391,0,A.H ROBINS S.A.S,1.10%,0,,,
200017832,7707351599421,VERACEF 500 MG 24 CAPSULAS,CJ,49674,45854,0,A.H ROBINS S.A.S,1.10%,0,,,
200017833,7707351595546,VERTINIL 16 MG 20 TBS,CJ,41395,38211,0,A.H ROBINS S.A.S,1.10%,0,,,
200025875,7703186029294,ALIMENTUM IQ 400 GR,TAR,37601,37601,0.16,ABBOTT LABORATORIES S.A,1.28%,0,,,
200024525,7703186030276,ENSURE ADVANCE LIQ.VAINILLA 237 ML 8 OZ,FCO,6808,6808,0,ABBOTT LABORATORIES S.A,0.1%,0,,,
200024526,8427030004549,ENSURE ADVANCE VAINILLA  400 GR,TAR,47191,47191,0,ABBOTT LABORATORIES S.A,0.7%-,0,,,
200017677,70074100579,ENSURE CON FIBRA FOS LIQUIDO 8 OZ,UN,9836,9836,0,ABBOTT LABORATORIES S.A,1%,0,,,
200027180,7703186029607,ENSURE LIQUIDO CHOCOLATE 237 ML 8 OZ,FCO,8399,8399,0,ABBOTT LABORATORIES S.A,0.1%,0,,,
200027210,7703186029591,ENSURE LIQUIDO FRESA 237 ML 8 OZ,FCO,8399,8399,0,ABBOTT LABORATORIES S.A,0.1%,0,,,
