registroAB,nombre,presentacion,potencia,laboratorio,monodroga,troquel,codigobarra
5,A ACIDO VITAL                               ,cr.x 30 g               ,0.005 g %,Domínguez           ,"retinoico,ác.                           ",3068041,7795327060044
11,COFRON                                      ,Ad.jbe.x 120 ml         ,12.5/2 mg/5 ml,Abbott              ,clofedianol+bromhexina                  ,2311341,7790440470916
12,COFRON                                      ,Ped.jbe.x 120 ml        ,7/1 mg/5 ml,Abbott              ,clofedianol+bromhexina                  ,2130412,7790440471012
16,DAYAMINERAL                                 ,gts.x 15 ml             , No Clasificada,Abbott              ,vit.+minerales                          ,7872,7790440666913
17,DAYAMINERAL                                 ,jbe.x 120 ml            , No Clasificada,Abbott              ,vit.+minerales                          ,7293,7790440699218
19,DEPAKENE                                    ,caps.x 50               ,250 mg,Abbott              ,"valproico,ác.                           ",2554732,7790440568118
21,DEPAKENE                                    ,jbe.x 120 ml            ,250 mg/5 ml,Abbott              ,"valproico,ác.                           ",2654801,7790440568217
24,ENSURE PLUS                                 ,Chocolate env.x 237 ml  , No Clasificada,Abbott              ,proteínas+grasas+carbohid.              ,9900024,0070074102993
36,ISOMIL                                      ,pvo.x 400 g             , No Clasificada,Abbott              ,proteínas+grasas+carbohid.+asoc.        ,9900036,7790440527665
40,LOFTON                                      ,150 mg comp.x 60        ,150 mg,Bagó                ,buflomedil                              ,2485012,7790440399729
41,LOFTON                                      ,300 mg comp.x 20        ,300 mg,Bagó                ,buflomedil                              ,2749781,7790375000431
42,LOFTON                                      ,300 mg comp.x 40        ,300 mg,Bagó                ,buflomedil                              ,2749782,7790375000509
43,LOFTON                                      ,50 mg iny.a.x 6         ,10 mg/ml,Abbott              ,buflomedil                              ,2622042,7790440402429
44,LOFTON                                      ,600 mg comp.x 20        ,600 mg,Bagó                ,buflomedil                              ,2989281,7790440568316
50,FERRITINA                                   ,20 mg pvo.sob.x 20      ,20 mg,Ivax Arg.           ,ferritina                               ,3895371,7795342002876
76,ACI-TIP                                     ,susp.x 200 ml           ,400/30 mg/5 ml,Investi             ,magaldrato+simeticona                   ,3086942,7795345002033
116,ERNEX ROSA                                  ,pvo.sob.x 10            ,250 mg,Casasco             ,"bencidamina,clorhidrato                 ",3104751,7791909362490
136,ALCON LAGRIMAS                              ,sol.oft.x 15 ml         ,0.1/0.3 g %,Alcon               ,dextrán+hidroxipropilmetilcel           ,2421651,7792086057544
138,ALCON MYDRIL                                ,1% sol.oft.x 5 ml       ,1 g %,Alcon               ,tropicamida                             ,2193461,7792086057551
140,ANESTALCON                                  ,fco.x 15 ml             ,0.5 g %,Alcon               ,proparacaína                            ,2029611,7792086057575
144,BETASEL                                     ,0.5% fco.x 5 ml         ,0.5 g %,Alcon               ,betaxolol                               ,3012421,7896548158777
146,BELIAM                                      ,250 mg sol.x 90 ml      ,250 mg/5 ml,Abbott              ,cefalexina                              ,2315302,7790440529027
148,ERNEX ROSA                                  ,pvo.sob.x 20            ,250 mg,Casasco             ,"bencidamina,clorhidrato                 ",3104752,7791909362568
156,IONAX SCRUB                                 ,cr.limp.x 60 g          , No Clasificada,Galderma            ,"benzalconio,cloruro+asoc.               ",9900156,7798007730268
158,CIPROVIT MAGNESICO                          ,gran.sob.x 20           , No Clasificada,Beta                ,ciproheptadina+vit.+asoc.               ,3041631,7795328050273
163,ISOPTO ATROPINA                             ,1% sol.oft.x 5 ml       ,1 g %,Alcon               ,"atropina,sulfato                        ",17851,7792086057711
164,ISOPTO CARPINA                              ,1% sol.oft.x 15 ml      ,1 g %,Alcon               ,pilocarpina                             ,17191,7896548158791
165,ISOPTO CARPINA                              ,2% sol.oft.x 15 ml      ,2 g %,Alcon               ,pilocarpina                             ,17431,7792086057735
171,ISOPTO MAXIDEX                              ,susp.oft.x 5 ml         ,100 mg %,Alcon               ,dexametasona                            ,16861,7792086057766
173,DECADRON CON NEOMICINA                      ,0.1% fco.got.x 5 ml     ,0.1/0.35 g %,Sidus               ,dexametasona+neomicina                  ,674482,7795356911409
174,MIRUS                                       ,sol.oft.x 15 ml         ,0.25/3 mg/ml,Alcon               ,nafazolina+feniramina                   ,2488081,7792086057803
188,DIASTIX                                     ,tiras x 50              , No Clasificada,Bayer Consumer      ,tiras reactivas                         ,5000041,7793640328063
189,TOBREX                                      ,gts.oft.x 10 ml         ,0.3 g %,Alcon               ,tobramicina                             ,2876162,7792086057902
196,GLUCOSTIX                                   ,tiras x 50              , No Clasificada,Bayer Consumer      ,tiras reactivas                         ,5000032,7793640326274
201,PROCTO-IKATRAL                              ,pda.x 30 g              , No Clasificada,Baliarda            ,lidocaína+hidrocortisona+asoc.          ,3052363,7795338001227
206,BUTIOL                                      ,1.5 mg comp.x 20        ,1.5 mg,Ivax Arg.           ,dexametasona                            ,2867411,7795342002166
216,DIFUSIL FORTE                               ,comp.x 30               ,4.5/75 mg,Ivax Arg.           ,dihidroergotoxina+cinarizina            ,2850402,7795342002258
220,KETO DIASTIX                                ,tiras x 50              , No Clasificada,Bayer Consumer      ,tiras reactivas                         ,2883,7793640328834
239,BLEFAMIDE                                   ,susp.oft.x 10 ml        , No Clasificada,Allergan-Loa        ,sulfacetamida sódica+asoc.              ,2289672,7795316000235
241,F M L LIQUIFILM                             ,susp.oft.x 10 ml        ,100 mg %,Allergan-Loa        ,fluorometolona                          ,2146272,7795316002123
242,F M L NEO LIQUIFILM                         ,susp.oft.x 5 ml         , No Clasificada,Allergan-Loa        ,fluorometolona+asoc.                    ,2170511,7795316001928
244,LIQUIFILM LAGRIMAS                          ,sol.oft.x 15 ml         , No Clasificada,Allergan-Loa        ,alcohol polivinílico+asoc.              ,2207991,7795316000464
245,PREDNEFRIN FORTE                            ,susp.oft.x 10 ml        ,1000/120 mg %,Allergan-Loa        ,prednisolona+fenilefrina                ,2203512,7795316000693
246,PREDNEFRIN                                  ,susp.oft.x 10 ml        ,120/120 mg %,Allergan-Loa        ,prednisolona+fenilefrina                ,2203692,7795316000648
247,PREFRIN LIQUIFILM                           ,sol.oft.x 15 ml         ,0.12 g %,Allergan-Loa        ,fenilefrina                             ,2213671,7795316000709
253,ANDRIODERMA                                 ,pda.x 25 g              , No Clasificada,Andrómaco           ,"vit.a+bencetonio,cl.+asoc.              ",36901,7793742001659
258,CLINAL                                      ,pda.x 25 g              , No Clasificada,Andrómaco           ,"vit.a+bencetonio,cl.+asoc.              ",33012,7793742001673
264,DERMAGLOS                                   ,emuls.x 200 ml          , No Clasificada,Andrómaco           ,vit.a+alantoína+asoc.                   ,2704392,7793742001499
272,DISEL                                       ,Ad.gts.nasales x 10 ml  ,1 mg/ml,Andrómaco           ,nafazolina                              ,40941,7793742000386
