Nro Reg,Troquel,Producto,Presentacion,Accion Terapeutica,Monodroga,Vademecum
32410,5094051,ABACAVIR ELEA,300 MG COMP.REC.X 60,ANTIVIRAL CONTRA HIV,ABACAVIR,CUBIERTOS CON AUTORIZACION PREVIA
31324,4816142,FILABAC,300 MG COMP.X 60,ANTIVIRAL CONTRA HIV,ABACAVIR,CUBIERTOS CON AUTORIZACION PREVIA
35569,5332842,FINECIL,300 MG COMP.X 60,ANTIVIRAL CONTRA HIV,ABACAVIR,CUBIERTOS CON AUTORIZACION PREVIA
41230,5699132,PANKA,300 MG COMP.REC.X 60,ANTIVIRAL CONTRA HIV,ABACAVIR,CUBIERTOS CON AUTORIZACION PREVIA
39134,555684,PLUSABCIR,300 MG COMP.REC.X 60,ANTIVIRAL,ABACAVIR,CUBIERTOS CON AUTORIZACION PREVIA
46514,6032681,PLUSABCIR,SOL.ORAL X 240 ML,ANTIVIRAL,ABACAVIR,CUBIERTOS CON AUTORIZACION PREVIA
50258,6280714,VIROCAVIR,300 MG COMP.REC.X 60,ANTIVIRAL CONTRA HIV,ABACAVIR,CUBIERTOS CON AUTORIZACION PREVIA
31511,4906071,ZEPRIL,300 MG COMP.REC.X 60,ANTIVIRAL CONTRA HIV,ABACAVIR,CUBIERTOS CON AUTORIZACION PREVIA
23524,4549761,ZIAGENAVIR,20MG/ML SOL.ORAL X 240ML,ANTIVIRAL CONTRA HIV,ABACAVIR,CUBIERTOS CON AUTORIZACION PREVIA
23523,4549841,ZIAGENAVIR,300 MG COMP.REC.X 60,ANTIVIRAL CONTRA HIV,ABACAVIR,CUBIERTOS CON AUTORIZACION PREVIA
37480,5426261,KIVEXA,COMP.REC.X 30,ANTIVIRAL CONTRA HIV,ABACAVIR+LAMIVUDINA,CUBIERTOS CON AUTORIZACION PREVIA
47244,6115971,PROFELVIR,COMP.REC.X 30,ANTIVIRAL CONTRA HIV,ABACAVIR+LAMIVUDINA,CUBIERTOS CON AUTORIZACION PREVIA
46549,6054841,SELMIVIR,COMP.REC.X 30,ANTIVIRAL CONTRA HIV,ABACAVIR+LAMIVUDINA,CUBIERTOS CON AUTORIZACION PREVIA
28579,4897171,TRICIVIR,COMP.REC.X 60,ANTIVIRAL CONTRA HIV,ABACAVIR+LAMIVUDINA+ZIDOVUDINA,CUBIERTOS CON AUTORIZACION PREVIA
34292,5206226,TRIVUDIN,COMP.X 60,ANTIVIRAL CONTRA HIV,ABACAVIR+LAMIVUDINA+ZIDOVUDINA,CUBIERTOS CON AUTORIZACION PREVIA
41599,5723683,ZIDOMUV,COMP.X 60,ANTIVIRAL CONTRA HIV,ABACAVIR+LAMIVUDINA+ZIDOVUDINA,CUBIERTOS CON AUTORIZACION PREVIA
48594,6195391,ORENCIA,125 MG JGA.PRELL.X 4,TRAT.ARTRITIS REUMATOIDEA,ABATACEPT,CUBIERTOS CON AUTORIZACION PREVIA
39838,5593391,ORENCIA,250 MG VIAL X 1,TRAT.ARTRITIS REUMATOIDEA,ABATACEPT,CUBIERTOS CON AUTORIZACION PREVIA
45296,4066121,REOPRO,2 MG/ML F.A.X 5 ML,ANTIAGREGANTE PLAQUETARIO,ABCIXIMAB,CUBIERTOS CON AUTORIZACION PREVIA
51020,6318420,BITERA,250 MG COMP.X 120,ANTINEOPLASICO,'ABIRATERONA,ACETATO',CUBIERTOS CON AUTORIZACION PREVIA
50795,631697,KIGAR,250 MG COMP.X 120,ANTINEOPLASICO,'ABIRATERONA,ACETATO',CUBIERTOS CON AUTORIZACION PREVIA
50743,631968,PROSTERONA,250 MG COMP.X 120,ANTINEOPLASICO,'ABIRATERONA,ACETATO',CUBIERTOS CON AUTORIZACION PREVIA
49702,6247261,ZYVALIX,250 MG COMP.X 120,ANTINEOPLASICO,'ABIRATERONA,ACETATO',CUBIERTOS CON AUTORIZACION PREVIA
11037,3177781,GLUCOBAY,100 MG COMP.X 30,ANTIDIABETICO,ACARBOSE,CUBIERTOS
11036,3177601,GLUCOBAY,50 MG COMP.X 30,ANTIDIABETICO,ACARBOSE,CUBIERTOS
50109,9950109,AGUJAS BD ULTRAFINE 4MM 32G,32G X 4MM CAJA X 100,AGUJA P/APLICADOR DE INSULINA,ACCESORIO,CUBIERTOS CON AUTORIZACION PREVIA
49769,9949769,AGUJAS BD ULTRAFINE 5MM 31G,31G X 5MM CAJA X 100,AGUJA P/APLICADOR DE INSULINA,ACCESORIO,CUBIERTOS CON AUTORIZACION PREVIA
50110,9950110,AGUJAS BD ULTRAFINE 8MM 31G,31G X 8MM CAJA X 100,AGUJA P/APLICADOR DE INSULINA,ACCESORIO,CUBIERTOS CON AUTORIZACION PREVIA
50219,9950219,BIONIME LANCETAS,LANCETAS CAJA X 100,ACCESORIOS,ACCESORIO,CUBIERTOS
42456,5000007,CONTOUR TS,METER BASIC,CONTROL GLUCOSA,ACCESORIO,CUBIERTOS CON AUTORIZACION PREVIA
42460,5000076,CONTOUR TS,SOL.CONT.NORM.X1 X 2.5ML,CONTROL GLUCOSA,ACCESORIO,CUBIERTOS CON AUTORIZACION PREVIA
50951,9950951,FREESTYLE FREEDOM MEDIDOR,MEDIDOR X 1,CONTROL GLUCOSA,ACCESORIO,CUBIERTOS
43887,9943887,FREESTYLE OPTIUM,CD COPILOT (SOFTWARE),CONTROL GLUCOSA,ACCESORIO,CUBIERTOS CON AUTORIZACION PREVIA
43886,9943886,FREESTYLE OPTIUM,COPILOT USB CABLE(SOFT.),CONTROL GLUCOSA,ACCESORIO,CUBIERTOS CON AUTORIZACION PREVIA
48839,9948839,FREESTYLE OPTIUM EQUIPO,EQ.+DIG.+10 LANC.+MANUAL,CONTROL GLUCOSA,ACCESORIO,CUBIERTOS CON AUTORIZACION PREVIA
23000,9923000,MICROLET LANCETAS,UNID.X 100,ACCESORIOS,ACCESORIO,CUBIERTOS CON AUTORIZACION PREVIA
23001,9923001,MICROLET LANCETAS,UNID.X200(8 CAJAS X25U.),ACCESORIOS,ACCESORIO,CUBIERTOS CON AUTORIZACION PREVIA
49926,6106842,URODULOX,100 MG COMP.X 10,ANALGESICO ANTIINFLAM.,ACECLOFENAC,CUBIERTOS
47755,6106841,URODULOX,100 MG COMP.X 20,ANALGESICO ANTIINFLAM.,ACECLOFENAC,CUBIERTOS
11964,3240962,REGULIP,1 G CAPS.X 60,HIPOCOLESTEROLEMIANTE,ACEITE DE SALMON,CUBIERTOS
34244,3240963,REGULIP,1 G CAPS.X 90,HIPOCOLESTEROLEMIANTE,ACEITE DE SALMON,CUBIERTOS
10796,3093792,RUCATEN FORTE,COMP.REC.X 30,ANALGESICO ANTIINFLAM.,ACEMETACINA+CLORZOXAZONA,CUBIERTOS
40384,558468,ACENOCOUMAROL ROSPAW,4 MG COMP.X 20,ANTICOAGULANTE,ACENOCUMAROL,CUBIERTOS
37273,5362971,ACENOCUMAROL TECHSPHERE,4 MG COMP.X 20,ANTICOAGULANTE,ACENOCUMAROL,CUBIERTOS
37908,5417554,AZECAR,1 MG COMP.X 30,ANTICOAGULANTE,ACENOCUMAROL,CUBIERTOS
37909,5417684,AZECAR,4 MG COMP.X 30,ANTICOAGULANTE,ACENOCUMAROL,CUBIERTOS
44526,5834553,DERCUALON,4 MG COMP.X 30,ANTICOAGULANTE,ACENOCUMAROL,CUBIERTOS
35327,5243282,FORTONOL,4 MG COMP.X 20,ANTICOAGULANTE,ACENOCUMAROL,CUBIERTOS
38921,5511712,SAXION,4 MG COMP.X 20,ANTICOAGULANTE,ACENOCUMAROL,CUBIERTOS
18247,4155801,SINTROM,1 MG COMP.X 30,ANTICOAGULANTE,ACENOCUMAROL,CUBIERTOS
2232,327221,SINTROM,4 MG COMP.X 20,ANTICOAGULANTE,ACENOCUMAROL,CUBIERTOS
48845,6209711,ACETA,250 MG COMP.X 20,ANTIGLAUCOMATOSO,ACETAZOLAMIDA,CUBIERTOS
48846,6209712,ACETA,250 MG COMP.X 50,ANTIGLAUCOMATOSO,ACETAZOLAMIDA,CUBIERTOS
45899,4101762,DIABO,250 MG COMP.X 50,ANTIGLAUCOMATOSO,ACETAZOLAMIDA,CUBIERTOS
44539,5899131,HYDROFTAL,250 MG COMP.X 50,ANTIGLAUCOMATOSO,ACETAZOLAMIDA,CUBIERTOS
45768,493065,MATRO,250 MG COMP.X 50,ANTIGLAUCOMATOSO,ACETAZOLAMIDA,CUBIERTOS
30724,4690661,OTOPREVEN,GTS.OTICAS X 10 ML,ANTIBACTERIANO,'ACETICO,ACIDO',CUBIERTOS
27122,469066,OTOPREVEN,GTS.OTICAS X 20 ML,ANTIBACTERIANO,'ACETICO,ACIDO',CUBIERTOS
48797,6039552,CERACTIF,500 MG COMP.REC.X 30,ACTIVADOR CEREBRAL,ACETILCARNITINA,CUBIERTOS
18020,4033871,NEUREX,500 MG COMP.X 30,ACTIVADOR CEREBRAL,ACETILCARNITINA,CUBIERTOS
18021,4033872,NEUREX,500 MG COMP.X 60,ACTIVADOR CEREBRAL,ACETILCARNITINA,CUBIERTOS
18022,4033952,NEUREX,500 MG INY.F.A.X 6,ACTIVADOR CEREBRAL,ACETILCARNITINA,CUBIERTOS
13492,3492921,NEUROACTIL,COMP.X 30,ACTIVADOR CEREBRAL,ACETILCARNITINA,CUBIERTOS
42683,5713681,ACC EXPECTORANTE,600 MG COMP.EFER.X 10,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
42684,5713682,ACC EXPECTORANTE,600 MG COMP.EFER.X 20,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
46770,4323943,ACEMUK,200 MG TAB.EFER.X 10,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
21646,4324010,ACEMUK,600 MG TAB.EFER.X 10,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
49721,4324015,ACEMUK,600 MG TAB.EFER.X 12,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
21647,4324011,ACEMUK,600 MG TAB.EFER.X 20,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
43208,9943208,ACEMUK,600 MG TAB.EFER.X 5,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
45711,4324013,ACEMUK,600 MG TAB.EFER.X 60,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
45712,4324014,ACEMUK,600 MG TAB.EFER.X 90,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
29676,4837351,ACEMUK JARABE,JBE.X 100 ML,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
50946,6281971,BALIMUC,600 MG SOB.X 10,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
50947,6281972,BALIMUC,600 MG SOB.X 20,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
50212,6257841,BISTRONFOR,600 MG SOB.X 10,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
44931,5887841,BRONCOLIUM,600 MG COMP.EFER.X 12,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
48318,5887842,BRONCOLIUM,600 MG COMP.EFER.X 24,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
49533,5887681,BRONCOLIUM 200,200 MG COMP.EFER.X 12,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
50978,6320001,BRONCOLIUM JARABE,JBE.X 100 ML,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
49960,6125131,CISTEFORT,600 MG SOB.X 10,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
48783,6125132,CISTEFORT,600 MG SOB.X 20,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
48785,6125391,CISTEFORT,SOLUCION X 200 ML,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
48672,6153712,TOFLUX,200 MG SOB.X 20,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
48356,6153841,TOFLUX,600 MG SOB.X 10,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
48357,6153842,TOFLUX,600 MG SOB.X 20,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
49128,6153971,TOFLUX JARABE,JBE.X 100 ML,MUCOLITICO,ACETILCISTEINA,CUBIERTOS
44683,5916002,ACEMUK DIA Y NOCHE,COMP.EFERV.X 16,ANTIGRIPAL,ACETILCISTEINA+PARACET.+ASOC.,CUBIERTOS
41877,5752684,ACEMUK L,COMP.X 20,ANTIBIOTICO MUCOLITICO,ACETILCISTEINA+TIROTRICINA+ASOC.,CUBIERTOS
41502,5695391,ASPIRINA PREVENT,COMP.CUB.ENTERICA X 20,ANTIAGREGANTE PLAQUETARIO,'ACETILSALICILICO,AC.',CUBIERTOS
41503,5695392,ASPIRINA PREVENT,COMP.CUB.ENTERICA X 50,ANTIAGREGANTE PLAQUETARIO,'ACETILSALICILICO,AC.',CUBIERTOS
44878,5905001,ASPIRINA PREVENT 325,COMP.CUB.ENTERICA X 30,ANTIAGREGANTE PLAQUETARIO,'ACETILSALICILICO,AC.',CUBIERTOS
44879,5905002,ASPIRINA PREVENT 325,COMP.CUB.ENTERICA X 60,ANTIAGREGANTE PLAQUETARIO,'ACETILSALICILICO,AC.',CUBIERTOS
48436,9948436,CARDIO VENT3,100 MG BLIST.COMP.X 30,ANTIAGREGANTE PLAQUETARIO,'ACETILSALICILICO,AC.',CUBIERTOS
3216,2119122,ECOTRIN,325 MG GRAG.X 25,ANTIAGREGANTE PLAQUETARIO,'ACETILSALICILICO,AC.',CUBIERTOS
9849,2119123,ECOTRIN,325 MG GRAG.X 50,ANTIAGREGANTE PLAQUETARIO,'ACETILSALICILICO,AC.',CUBIERTOS
50857,5553421,AZIATEM,COMP.REC.X 30,ANTIAGREGANTE PLAQUETARIO,'ACETILSALICILICO,AC.+ASOC.',CUBIERTOS
50858,5553422,AZIATEM,COMP.REC.X 60,ANTIAGREGANTE PLAQUETARIO,'ACETILSALICILICO,AC.+ASOC.',CUBIERTOS
3269,509484,DESENFRIOL,GRAG.X 16,ANTIGRIPAL,'ACETILSALICILICO,AC.+ASOC.',CUBIERTOS
50397,6287841,TRINOMIA,100/40/10 MG CAPS.X 28,ANTIAGREGANTE PLAQUETARIO,'ACETILSALICILICO,AC.+ASOC.',CUBIERTOS
50396,6287711,TRINOMIA,100/40/5 MG CAPS.X 28,ANTIAGREGANTE PLAQUETARIO,'ACETILSALICILICO,AC.+ASOC.',CUBIERTOS
24493,4477494,CARDIAX,COMP.X 30,ANTIAGREGANTE PLAQUETARIO,'ACETILSALICILICO,AC.+VIT.C+VIT.E',CUBIERTOS
4438,1733441,PLASTENAN,UNG.X 40 G,CICATRIZANTE,'ACEXAMICO,AC.',CUBIERTOS
14941,2063513,RESTAURENE,POMO X 20 G,CICATRIZANTE,'ACEXAMICO,AC.+ASOC.',CUBIERTOS
4437,1733521,PLASTENAN CON NEOMICINA,CR.X 20 G,CICATRIZANTE ANTIBIOTICO,'ACEXAMICO,AC.+NEOMICINA',CUBIERTOS
28987,4511883,ACERPES,400 MG COMP.X 20,ANTIVIRAL,ACICLOVIR,CUBIERTOS
23499,4511622,ACERPES,5% CR.X 5 G,ANTIVIRAL,ACICLOVIR,CUBIERTOS
28983,4511963,ACERPES,800 MG COMP.X 20,ANTIVIRAL,ACICLOVIR,CUBIERTOS
14701,3744551,ACICLOVIR FILAXIS,500 MG INY.LIOF.X 1,ANTIVIRAL,ACICLOVIR,CUBIERTOS
20305,4291691,ACICLOVIR FILAXIS,800 MG COMP.X 20,ANTIVIRAL,ACICLOVIR,CUBIERTOS
31594,5844681,ACICLOVIR NORTHIA,200 MG COMP.X 20,ANTIVIRAL,ACICLOVIR,CUBIERTOS
31595,5077522,ACICLOVIR NORTHIA,200 MG COMP.X 40,ANTIVIRAL,ACICLOVIR,CUBIERTOS
31598,5078280,ACICLOVIR NORTHIA,5% UNG.DERMICO.X 5 G,ANTIVIRAL,ACICLOVIR,CUBIERTOS
31596,5077681,ACICLOVIR NORTHIA,800 MG COMP.REC.X 20,ANTIVIRAL,ACICLOVIR,CUBIERTOS
45403,5932712,ACICLOVIR RICHET,POMO X 5 G,ANTIVIRAL,ACICLOVIR,CUBIERTOS
26908,3625411,DIOXIS,CR.X 5 G,ANTIVIRAL,ACICLOVIR,CUBIERTOS
48539,9948539,FADA ACICLOVIR,500 MG LIOF.F.A.X 50,ANTIVIRAL,ACICLOVIR,CUBIERTOS CON AUTORIZACION PREVIA
44962,9944962,LAFEVIR,200 MG COMP.X 20,ANTIVIRAL,ACICLOVIR,CUBIERTOS
44963,4480103,LAFEVIR,200 MG COMP.X 40,ANTIVIRAL,ACICLOVIR,CUBIERTOS
46953,9946953,LAFEVIR,3% SOL.OFT.X 10 ML,ANTIVIRAL,ACICLOVIR,CUBIERTOS
46952,9946952,LAFEVIR,3% SOL.OFT.X 5 ML,ANTIVIRAL,ACICLOVIR,CUBIERTOS
29864,9929864,LAFEVIR,5 G/100 G CR.DERM.X 10 G,ANTIVIRAL,ACICLOVIR,CUBIERTOS
36219,9936219,LAFEVIR,5 G/100 G CR.DERM.X 5 G,ANTIVIRAL,ACICLOVIR,CUBIERTOS
44964,9944964,LAFEVIR,500 MG LIOF.A.X 1,ANTIVIRAL,ACICLOVIR,CUBIERTOS
44960,9944960,LAFEVIR,800 MG COMP.X 20,ANTIVIRAL,ACICLOVIR,CUBIERTOS
44961,9944961,LAFEVIR,800 MG COMP.X 40,ANTIVIRAL,ACICLOVIR,CUBIERTOS
15578,2953203,LISOVYR,CAPS.X 20,ANTIVIRAL,ACICLOVIR,CUBIERTOS
2947,2953202,LISOVYR,CAPS.X 40,ANTIVIRAL,ACICLOVIR,CUBIERTOS
2946,422681,LISOVYR,UNG.X 10 G,ANTIVIRAL,ACICLOVIR,CUBIERTOS
49801,3602142,LISOVYR 400,COMP.REC.X 20,ANTIVIRAL,ACICLOVIR,CUBIERTOS
15577,3602222,LISOVYR 800,COMP.REC.X 20,ANTIVIRAL,ACICLOVIR,CUBIERTOS
15145,3602221,LISOVYR 800,COMP.REC.X 40,ANTIVIRAL,ACICLOVIR,CUBIERTOS
41330,4158792,LISOVYR CREMA,POMO X 5 G,ANTIVIRAL,ACICLOVIR,CUBIERTOS
38449,5507261,LISOVYR SUSPENSION 8%,FCO.X 120 ML,ANTIVIRAL,ACICLOVIR,CUBIERTOS
35608,4092521,POVIRAL,400 MG COMP.X 20,ANTIVIRAL,ACICLOVIR,CUBIERTOS
35609,4092523,POVIRAL,400 MG COMP.X 40,ANTIVIRAL,ACICLOVIR,CUBIERTOS
32116,4092601,POVIRAL,800 MG COMP.X 20,ANTIVIRAL,ACICLOVIR,CUBIERTOS
32117,4092603,POVIRAL,800 MG COMP.X 40,ANTIVIRAL,ACICLOVIR,CUBIERTOS
7888,2830941,POVIRAL,CR.DERM.X 5 G,ANTIVIRAL,ACICLOVIR,CUBIERTOS
7889,2830861,POVIRAL,PDA.OFT.X 5 G,ANTIVIRAL,ACICLOVIR,CUBIERTOS
32118,4070662,POVIRAL,SUSP.X 125 ML,ANTIVIRAL,ACICLOVIR,CUBIERTOS
46002,9946002,TRIXVIRAL,500 MG LIOF.F.A.X 1,ANTIVIRAL,ACICLOVIR,CUBIERTOS
49805,6235393,VIROSTATIC 800,COMP.X 20,ANTIVIRAL,ACICLOVIR,CUBIERTOS
14451,3245255,XICLOVIR,200 MG COMP.REC.X 30,ANTIVIRAL,ACICLOVIR,CUBIERTOS
25886,4091371,XICLOVIR,250 MG LIOF.F.A.X 1+DIL.,ANTIVIRAL,ACICLOVIR,CUBIERTOS
50570,4838421,XICLOVIR,400 MG COMP.REC.X 20,ANTIVIRAL,ACICLOVIR,CUBIERTOS
50571,6264681,XICLOVIR,5% CREMA X 5 G,ANTIVIRAL,ACICLOVIR,CUBIERTOS
31515,3245331,XICLOVIR,5% UNG.DERM.X 5 G,ANTIVIRAL,ACICLOVIR,CUBIERTOS
25887,4091451,XICLOVIR,500 MG LIOF.F.A.X 1+DIL.,ANTIVIRAL,ACICLOVIR,CUBIERTOS
34448,5234531,XICLOVIR,8% SUSP.FCO.X 120 ML,ANTIVIRAL,ACICLOVIR,CUBIERTOS
17126,4059031,XICLOVIR 800,COMP.X 20,ANTIVIRAL,ACICLOVIR,CUBIERTOS
17127,4059032,XICLOVIR 800,COMP.X 40,ANTIVIRAL,ACICLOVIR,CUBIERTOS
9139,290108,ZOVIRAX,200 MG COMP.X 25,ANTIVIRAL,ACICLOVIR,CUBIERTOS
9138,2923501,ZOVIRAX,CR.X 10 G,ANTIVIRAL,ACICLOVIR,CUBIERTOS
48077,6113682,OMACOR,CAPS.BLANDAS X 28,HIPOLIPEMIANTE,ACIDOS GRASOS OMEGA3 AL 90%,CUBIERTOS CON AUTORIZACION PREVIA
27610,3105324,NEOTIGASON,10 MG CAPS.X 30,ANTIPSORIASICO,ACITRETINA,CUBIERTOS
26974,3105404,NEOTIGASON,25 MG CAPS.X 30,ANTIPSORIASICO,ACITRETINA,CUBIERTOS
