REG AB,CLAVE CSF,TROQUEL AB,PRINCIPIO ACTIVO,NOMBRE COMERCIAL,POTENCIA,CONTENIDO,FORMA FARMACEUTICA,LABORATORIO,MONTO-FIJO A APLICAR
11037,3177781,3177781,ACARBOSE,GLUCOBAY,100 MG,30,COMPRIMIDOS,BAYER (PH),41.60
11036,3177601,3177601,ACARBOSE,GLUCOBAY,50 MG,30,COMPRIMIDOS,BAYER (PH),23.23
40384,0558468,558468,ACENOCUMAROL,ACENOCOUMAROL ROSPAW,4 MG,20,COMPRIMIDOS,ROSPAW,38.49
37273,5362971,5362971,ACENOCUMAROL,ACENOCUMAROL TECHSPHERE,4 MG,20,COMPRIMIDOS,TECHSPHERE,27.00
37908,5417554,5417554,ACENOCUMAROL,AZECAR,1 MG,30,COMPRIMIDOS,BAGO,17.88
37909,5417684,5417684,ACENOCUMAROL,AZECAR,4 MG,30,COMPRIMIDOS,BAGO,55.76
44526,5834553,5834553,ACENOCUMAROL,DERCUALON,4 MG,30,COMPRIMIDOS,FADA PHARMA,31.09
35327,5243282,5243282,ACENOCUMAROL,FORTONOL,4 MG,20,COMPRIMIDOS,MICROSULES ARG.,38.49
38921,5511712,5511712,ACENOCUMAROL,SAXION,4 MG,20,COMPRIMIDOS,DUNCAN,38.49
18247,4155801,4155801,ACENOCUMAROL,SINTROM,1 MG,30,COMPRIMIDOS,NOVARTIS,21.84
2232,0327221,327221,ACENOCUMAROL,SINTROM,4 MG,20,COMPRIMIDOS,NOVARTIS,38.49
3216,2119122,2119122,"ACETILSALICILICO,AC.",ECOTRIN,325 MG,25,GRAGEAS,MSD ARGENTINA SR,22.97
9849,2119123,2119123,"ACETILSALICILICO,AC.",ECOTRIN,325 MG,50,GRAGEAS,MSD ARGENTINA SR,41.51
33436,3593663,3593663,ALLOPURINOL,ALFADIMAN,300 MG,40,COMPRIMIDOS,LAZAR,16.46
9125,3115721,3115721,ALLOPURINOL,ALLOPURINOL CRAVERI,300 MG,20,COMPRIMIDOS,CRAVERI,35.82
48994,3115724,3115724,ALLOPURINOL,ALLOPURINOL CRAVERI,300 MG,30,COMPRIMIDOS,CRAVERI,45.83
9126,3115722,3115722,ALLOPURINOL,ALLOPURINOL CRAVERI,300 MG,40,COMPRIMIDOS,CRAVERI,46.70
48995,3115726,3115726,ALLOPURINOL,ALLOPURINOL CRAVERI,300 MG,60,COMPRIMIDOS,CRAVERI,75.39
9776,3115723,3115723,ALLOPURINOL,ALLOPURINOL CRAVERI,300 MG,100,COMPRIMIDOS,CRAVERI,155.45
40472,5600421,5600421,ALLOPURINOL,ALLOPURINOL CRAVERI RETARD,300 MG,20,COMPRIMIDOS,CRAVERI,44.46
40473,5600423,5600423,ALLOPURINOL,ALLOPURINOL CRAVERI RETARD,300 MG,50,COMPRIMIDOS,CRAVERI,94.50
20409,9920409,4285831,ALLOPURINOL,ALLOPURINOL FABRA,300 MG,20,COMPRIMIDOS,FABRA,30.21
27557,4285832,4285832,ALLOPURINOL,ALLOPURINOL FABRA,300 MG,40,COMPRIMIDOS,FABRA,16.46
35537,3346237,3346237,ALLOPURINOL,ALLOPURINOL GADOR,300 MG,30,COMPRIMIDOS,GADOR,32.27
35538,3346232,3346232,ALLOPURINOL,ALLOPURINOL GADOR,300 MG,60,COMPRIMIDOS,GADOR,65.63
31567,3582191,3582191,ALLOPURINOL,ALLOPURINOL GEN MED,300 MG,20,COMPRIMIDOS,TECHSPHERE,30.21
31568,3582192,3582192,ALLOPURINOL,ALLOPURINOL GEN MED,300 MG,40,COMPRIMIDOS,TECHSPHERE,46.70
32250,4386813,4386813,ALLOPURINOL,ALLOPURINOL HEXAL,300 MG,30,COMPRIMIDOS,INVESTI,32.27
46153,5983422,5983422,ALLOPURINOL,ALLOPURINOL HOUDE,,30,COMPRIMIDOS,SPEDROG CAILLON,45.83
1538,3124051,3124051,ALLOPURINOL,ALLOPURINOL PHOENIX,300 MG,40,CAPSULAS,PHOENIX,46.70
1539,3124052,3124052,ALLOPURINOL,ALLOPURINOL PHOENIX,300 MG,100,CAPSULAS,PHOENIX,153.61
30096,3124053,3124053,ALLOPURINOL,ALLOPURINOL PHOENIX,300 MG,20,COMPRIMIDOS,PHOENIX,35.82
44166,5858392,5858392,ALLOPURINOL,COLPURIL A RETARD,,20,CAPSULAS,NOVA ARGENTIA,40.20
44167,5858394,5858394,ALLOPURINOL,COLPURIL A RETARD,,50,CAPSULAS,NOVA ARGENTIA,85.76
22580,3694561,3694561,ALLOPURINOL,PURITENK,300 MG,20,COMPRIMIDOS,BIOTENK,30.21
37580,5248812,5248812,AMANTADINA,ACTISON,100 MG,30,COMPRIMIDOS,BUXTON,91.68
39690,5415264,5415264,AMANTADINA,AMPAKINE,100 MG,30,COMPRIMIDOS,ASTRAZENECA,86.03
39691,5415265,5415265,AMANTADINA,AMPAKINE,100 MG,60,COMPRIMIDOS,ASTRAZENECA,164.70
7636,0817872,817872,AMANTADINA,VIROSOL,100 MG,10,COMPRIMIDOS,PHOENIX,33.05
46782,0817873,817873,AMANTADINA,VIROSOL,100 MG,30,COMPRIMIDOS,PHOENIX,91.68
5646,3402082,3402082,AMIODARONA,AMIOCAR,200 MG,50,COMPRIMIDOS,KLONAL,60.62
40257,5340421,5340421,AMIODARONA,AMIODARONA GEN MED,200 MG,20,COMPRIMIDOS,TECHSPHERE,11.21
40258,5340422,5340422,AMIODARONA,AMIODARONA GEN MED,200 MG,50,COMPRIMIDOS,TECHSPHERE,33.60
31600,4140791,4140791,AMIODARONA,AMIODARONA NORTHIA,200 MG,20,COMPRIMIDOS,NORTHIA,11.21
31601,4140793,4140793,AMIODARONA,AMIODARONA NORTHIA,200 MG,60,COMPRIMIDOS,NORTHIA,40.22
44739,5889971,5889971,AMIODARONA,AMIODARONA PUNTANOS,200 MG,20,COMPRIMIDOS,LABORATORIOS PUNTANOS,11.21
29401,4046241,4046241,AMIODARONA,AMIODARONA VANNIER,200 MG,20,COMPRIMIDOS,VANNIER,20.43
17175,0215401,3501741,AMIODARONA,ANGOTEN-ANGUTEN,200 MG,20,COMPRIMIDOS,MICROSULES ARG.,20.43
17176,0215403,3501743,AMIODARONA,ANGOTEN-ANGUTEN,200 MG,50,COMPRIMIDOS,MICROSULES ARG.,60.62
7638,2848361,2848361,AMIODARONA,ATLANSIL,200 MG,20,COMPRIMIDOS,ROEMMERS,20.43
7639,2848362,2848362,AMIODARONA,ATLANSIL,200 MG,50,COMPRIMIDOS,ROEMMERS,60.62
25550,9925550,9925550,AMIODARONA,BATMOTROPIN,200 MG,20,COMPRIMIDOS,BAGO,11.21
25551,9925551,9925551,AMIODARONA,BATMOTROPIN,200 MG,60,COMPRIMIDOS,BAGO,40.22
22354,4450821,4450821,AMIODARONA,MIOTENK,200 MG,20,COMPRIMIDOS,BIOTENK,11.21
9286,2517941,2517941,AMIODARONA,RITMOCARDYL,200 MG,20,COMPRIMIDOS,SANOFI-AVENTIS,20.43
1018,2517942,2517942,AMIODARONA,RITMOCARDYL,200 MG,60,COMPRIMIDOS,SANOFI-AVENTIS,52.23
47060,5575681,5575681,AMIODARONA,RITMONIL,200 MG,20,COMPRIMIDOS,LEPETIT,11.21
46240,5575682,5575682,AMIODARONA,RITMONIL,200 MG,50,COMPRIMIDOS,LEPETIT,33.60
38920,5394393,5394393,AMLODIPINA,ABLOOM,10 MG,30,COMPRIMIDOS,DUNCAN,23.45
39982,5394263,5394263,AMLODIPINA,ABLOOM,5 MG,30,COMPRIMIDOS,DUNCAN,50.19
45608,51538122,9945608,AMLODIPINA,AMBENA,10 MG,30,COMPRIMIDOS,NORTHIA,23.45
45607,51537422,9945607,AMLODIPINA,AMBENA,5 MG,30,COMPRIMIDOS,NORTHIA,15.61
5169,3162831,3162831,AMLODIPINA,AMLOC,10 MG,20,TABLETAS,PFIZER,50.14
11205,3162832,3162832,AMLODIPINA,AMLOC,10 MG,30,TABLETAS,PFIZER,81.81
37933,3162833,3162833,AMLODIPINA,AMLOC,10 MG,60,TABLETAS,PFIZER,185.51
5168,3162751,3162751,AMLODIPINA,AMLOC,5 MG,20,TABLETAS,PFIZER,36.69
11204,3162752,3162752,AMLODIPINA,AMLOC,5 MG,30,TABLETAS,PFIZER,50.19
37932,3162753,3162753,AMLODIPINA,AMLOC,5 MG,60,TABLETAS,PFIZER,125.86
50582,6259131,6259131,AMLODIPINA,AMLOC ODT,10 MG,30,COMPRIMIDOS,PFIZER,81.81
50581,6259001,6259001,AMLODIPINA,AMLOC ODT,5 MG,30,COMPRIMIDOS,PFIZER,50.19
43064,5622711,5622711,AMLODIPINA,AMLODICORD,10 MG,30,COMPRIMIDOS,GEMINIS FARMACEU,23.45
43065,5622712,5622712,AMLODIPINA,AMLODICORD,10 MG,60,COMPRIMIDOS,GEMINIS FARMACEU,86.23
43062,5622681,5622681,AMLODIPINA,AMLODICORD,5 MG,30,COMPRIMIDOS,GEMINIS FARMACEU,15.61
43063,5622682,5622682,AMLODIPINA,AMLODICORD,5 MG,60,COMPRIMIDOS,GEMINIS FARMACEU,65.09
22105,4422441,4422441,AMLODIPINA,AMLODINE,10 MG,30,COMPRIMIDOS,EUROFARMA,81.81
22104,4422361,4422361,AMLODIPINA,AMLODINE,5 MG,30,COMPRIMIDOS,EUROFARMA,50.19
